2026-04-16 16:05:10,341 - INFO - Fetching all customers
2026-04-16 16:05:12,784 - INFO - Fetching all customers
2026-04-16 16:05:23,843 - INFO - Fetching customer ID: 2
2026-04-16 17:25:26,749 - INFO - Login attempt for user: Raghu
2026-04-16 17:25:26,768 - ERROR - Invalid login attempt for user: Raghu
2026-04-16 17:25:38,177 - INFO - Login attempt for user: Raghu
2026-04-16 17:25:38,177 - ERROR - Invalid login attempt for user: Raghu
2026-04-16 17:25:46,659 - INFO - Login attempt for user: sanju
2026-04-16 17:25:46,660 - ERROR - Invalid login attempt for user: sanju
2026-04-16 17:26:11,307 - INFO - Register attempt for user: Raghu
2026-04-16 17:26:11,389 - INFO - User registered successfully: Raghu
2026-04-16 17:26:28,988 - INFO - Login attempt for user: Raghu
2026-04-16 17:26:29,068 - INFO - Login successful for user: Raghu
2026-04-16 17:26:48,735 - INFO - Fetching all users
2026-04-16 17:27:03,470 - INFO - Total users count requested: 2
2026-04-16 17:27:15,159 - INFO - Delete request for user ID: 7
2026-04-16 17:27:15,172 - INFO - User 7 deleted successfully
2026-04-16 17:27:23,711 - INFO - Delete request for user ID: 8
2026-04-16 17:27:23,712 - INFO - User 8 deleted successfully
2026-04-16 17:27:29,791 - INFO - Delete request for user ID: 7
2026-04-16 17:27:29,792 - ERROR - User 7 not found
2026-04-16 17:27:36,787 - INFO - Delete request for user ID: 8
2026-04-16 17:27:36,788 - ERROR - User 8 not found
2026-04-16 17:27:46,481 - INFO - Fetching all users
2026-04-16 17:28:30,464 - INFO - Login attempt for user: Raghu
2026-04-16 17:28:30,465 - ERROR - Invalid login attempt for user: Raghu
2026-04-16 22:22:19,074 - INFO - Register attempt for user: Raghu
2026-04-16 22:22:19,260 - INFO - User registered successfully: Raghu
2026-04-16 22:23:21,321 - INFO - Login attempt for user: Raghu
2026-04-16 22:23:21,405 - INFO - Login successful for user: Raghu
2026-04-16 22:23:24,082 - INFO - Login attempt for user: Raghu
2026-04-16 22:23:24,182 - INFO - Login successful for user: Raghu
